tconst,title,year,genres,rating,votes,directorID,topActors
tt8374266,Guptodhoner Sondhane,2018.0,Adventure,6.8,1309,nm9818807,"['nm3374672', 'nm5448327', 'nm9818808']"
tt8374436,The Racer,2020.0,"Drama,Sport",5.9,1890,nm0909735,"['nm1739807', 'nm0322513', 'nm1683009']"
tt8376234,Peter Rabbit 2: The Runaway,2021.0,"Adventure,Animation,Comedy",6.2,16016,nm0323239,"['nm0126284', 'nm1727304', 'nm0654648']"
tt8377736,Texas,2018.0,"Action,Adventure,Comedy",3.5,1450,nm4983993,"['nm0267946', 'nm6091637', 'nm2780497']"
tt8378068,"Mykonos, the Soul of an Island",2018.0,Documentary,5.5,2112,nm0557789,['nm4158675']
tt8378126,Queen of Hearts,2019.0,Drama,7.0,16034,nm1392439,"['nm0245988', 'nm6625833', 'nm6625833']"
tt8380776,Grand Isle,2019.0,"Crime,Mystery,Thriller",4.7,6174,nm0132120,"['nm0000115', 'nm0834380', 'nm0972851']"
tt8385148,Hitman's Wife's Bodyguard,2021.0,"Action,Comedy,Crime",6.1,115075,nm0400850,"['nm0005351', 'nm0000168', 'nm0000161']"
tt8385420,Operation Cicero,2019.0,"Action,Crime,Drama",6.5,6866,nm0015091,"['nm1698655', 'nm5545310', 'nm1249031']"
tt8385474,A Dog's Journey,2019.0,"Adventure,Comedy,Drama",7.4,31307,nm0541562,"['nm1265802', 'nm0000598', 'nm3077071']"
tt8386654,Torn: Dark Bullets,2020.0,Thriller,5.1,1616,nm1575227,"['nm0451918', 'nm0068150', 'nm2285290']"
tt8386898,Instinct,2019.0,"Drama,Mystery,Thriller",6.0,3277,nm0717603,"['nm0396924', 'nm3092471', 'nm6895565']"
tt8386958,Wildland,2020.0,"Crime,Drama,Thriller",5.8,2014,nm1655937,"['nm5503373', 'nm0461746', 'nm6035514']"
tt8387464,House Shark,2017.0,"Action,Adventure,Comedy",3.5,2149,nm0094744,"['nm5242354', 'nm10340272', 'nm5895445']"
tt8387918,Kill It and Leave This Town,2020.0,"Animation,Drama,Horror",6.5,1254,nm1295507,"['nm0417370', 'nm0161607', 'nm0652292']"
tt8388508,Dear Comrade,2019.0,"Action,Drama,Romance",7.3,10866,nm9825418,"['nm4797922', 'nm8612305', 'nm2366974']"
tt8390612,The County,2019.0,"Comedy,Drama",6.5,1764,nm1963886,"['nm1907967', 'nm2855195', 'nm2044885']"
tt8391976,Bungo Stray Dogs: Dead Apple,2018.0,"Animation,Mystery",7.3,2515,nm0407024,"['nm0063527', 'nm0063527', 'nm2616557']"
tt8393332,Twin Murders: The Silence of the White City,2019.0,"Crime,Drama,Mystery",5.4,6520,nm0130714,"['nm0749104', 'nm2626646', 'nm3467663']"
tt8396128,Pataakha,2018.0,"Action,Comedy,Drama",7.2,4729,nm0080235,"['nm7621667', 'nm9654612', 'nm1571487']"
tt8396188,Tanks for Stalin,2018.0,"Action,Comedy,History",4.8,1191,nm3898042,"['nm1459463', 'nm5868170', 'nm8251674']"
